UNIQUE_IDS,BIOGROUP,USAGE
14138100104,1,calibration
16019100104,1,calibration
14139100104,1,calibration
15099103104,1,calibration
15025100104,1,calibration
15034100104,1,calibration
17024100104,6,calibration
16068100104,6,calibration
16060100104,6,calibration
16064100104,6,calibration
17032100104,6,calibration
16049100104,6,calibration
16071100104,6,calibration
17034100104,6,calibration
17014100104,6,calibration
18086100104,7,calibration
18039100104,7,calibration
18030100104,7,calibration
19019100104,7,calibration
18043100104,7,calibration
18096100104,7,calibration
18034100104,7,calibration
18042100104,7,calibration
18031100104,7,calibration
18076100104,7,calibration
18077100104,7,calibration
18081100104,7,calibration
17063101104,7,calibration
18075100104,7,calibration
15028100104,5,calibration
15030100104,5,calibration
14116101104,5,calibration
15077100104,5,calibration
14114100104,5,calibration
15009100104,5,calibration
15093100104,5,calibration
14135100104,5,calibration
15012100104,4,calibration
14126100104,4,calibration
16054101104,4,calibration
21062100104,11,calibration
20353100104,11,calibration
19138100104,11,calibration
20297100104,11,calibration
20104100104,11,calibration
19207100104,2,calibration
19159100104,2,calibration
20309100104,8,calibration
21064100104,8,calibration
21060100104,8,calibration
20287100104,8,calibration
20351101104,8,calibration
22104101104,9,calibration
21588100104,9,calibration
21556100104,9,calibration
21584100104,9,calibration
22102100104,9,calibration
21245100104,9,calibration
21572100104,9,calibration
21296100104,9,calibration
21550100104,9,calibration
21139100104,12,calibration
21187100104,12,calibration
21302100104,10,calibration
21562100104,10,calibration
23048100104,3,calibration
23069100104,3,calibration
23082101104,3,calibration
23045101104,3,calibration
23080100104,3,calibration
23068100104,3,calibration
23051100104,3,calibration
23055101104,3,calibration
14137100104,1,test
16025100104,1,test
17016101104,6,test
16057100104,6,test
18032100104,7,test
18083100104,7,test
17064100104,7,test
18088100104,7,test
16015100104,5,test
14143100104,5,test
14123100104,4,test
16028100104,4,test
19131101104,11,test
20348100104,11,test
19209100104,2,test
20113100104,2,test
20351102104,8,test
21591100104,8,test
21278100104,9,test
22084100104,9,test
21529100104,12,test
22088101104,12,test
21305100104,10,test
21558100104,10,test
23081100104,3,test
23079100104,3,test
